client_id,churn_flag,age,gender,dependents,education,marital,income,card_type,tenure_months,relationships,inactive_months,contact_count,limit,revolving_bal,open_to_buy,amt_chg_q4_q1,trans_amt,trans_ct,ct_chg_q4_q1,util_ratio,trans_amt_per_month,trans_ct_per_month,avg_trans_amt,balance_to_limit_ratio,credit_usage_efficiency,credit_growth_rate,predicted_churn_probability,predicted_churn_class,is_currently_at_risk,churn_risk_level
768805383,False,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,29.333333333333332,1.0769230769230769,27.238095238095237,0.061224489795918366,0.9387755102040817,16942.485,0.005165548088365922,False,False,Low Risk
818770008,False,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,29.34090909090909,0.75,39.121212121212125,0.10465116279069768,0.8953488372093024,12722.496,0.0018714282102599545,False,False,Low Risk
713982108,False,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,52.416666666666664,0.5555555555555556,94.35,0.0,1.0,8866.292,0.05421618377971992,False,False,Low Risk
769911858,False,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,34.44117647058823,0.5882352941176471,58.55,0.7597343797162692,0.24026562028373075,4654.765,0.014203378594542248,False,False,Low Risk
709106358,False,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,38.857142857142854,1.3333333333333333,29.142857142857142,0.0,1.0,10257.3,0.25476337458433207,False,False,Medium Risk
713061558,False,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,30.22222222222222,0.6666666666666666,45.333333333333336,0.3109725685785536,0.6890274314214464,5517.759999999999,0.02053587127940063,False,False,Low Risk
810347208,False,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,28.91304347826087,0.6739130434782609,42.903225806451616,0.06559276857109746,0.9344072314289026,68169.1,0.0020597801115049,False,False,Low Risk
818906208,False,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,56.96296296296296,1.3333333333333333,42.72222222222222,0.0480038513118531,0.9519961486881469,64094.524000000005,0.030800293107318685,False,False,Low Risk
710930508,False,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,37.5,0.6666666666666666,56.25,0.11260737294201861,0.8873926270579814,74990.96,0.004154343332083131,False,False,Low Risk
719661558,False,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,40.02777777777778,0.8888888888888888,45.03125,0.14387439945092656,0.8561256005490734,17763.744,0.004685708774616177,False,False,Low Risk
